arm,family,layer,n,median_share,q25,q75,mean_share,median_n_atoms
control_rotation_pooled,named,8,30,0.013439,0.012112,0.016543,nan,nan
control_rotation_pooled,named,9,30,0.014554,0.011972,0.015856,nan,nan
control_rotation_pooled,named,10,30,0.017858,0.015627,0.020389,nan,nan
control_rotation_pooled,named,11,30,0.047478,0.045787,0.053232,nan,nan
control_rotation_pooled,noise17,0,375,0.014045,0.012074,0.018119,nan,nan
control_rotation_pooled,noise17,1,375,0.018753,0.011915,0.023490,nan,nan
control_rotation_pooled,noise17,2,375,0.020955,0.012018,0.024501,nan,nan
control_rotation_pooled,noise17,3,375,0.017342,0.012479,0.024336,nan,nan
control_rotation_pooled,noise17,4,375,0.012841,0.010099,0.021413,nan,nan
control_rotation_pooled,noise17,5,375,0.013490,0.009944,0.019644,nan,nan
control_rotation_pooled,noise17,6,375,0.013531,0.010627,0.016087,nan,nan
control_rotation_pooled,noise17,7,375,0.013499,0.011128,0.016830,nan,nan
control_rotation_pooled,noise17,8,375,0.013807,0.011435,0.016287,nan,nan
control_rotation_pooled,noise17,9,375,0.013601,0.011526,0.014842,nan,nan
control_rotation_pooled,noise17,10,375,0.016823,0.013233,0.019143,nan,nan
control_rotation_pooled,noise17,11,375,0.046986,0.043863,0.059736,nan,nan
control_rotation_pooled,nullold,0,375,0.018916,0.011054,0.025892,nan,nan
control_rotation_pooled,nullold,1,375,0.019000,0.013028,0.027794,nan,nan
control_rotation_pooled,nullold,2,375,0.023285,0.009942,0.025118,nan,nan
control_rotation_pooled,nullold,3,375,0.020718,0.009432,0.026798,nan,nan
control_rotation_pooled,nullold,4,375,0.015689,0.010466,0.029348,nan,nan
control_rotation_pooled,nullold,5,375,0.011000,0.009792,0.027316,nan,nan
control_rotation_pooled,nullold,6,375,0.011150,0.008315,0.020729,nan,nan
control_rotation_pooled,nullold,7,375,0.014953,0.008779,0.020972,nan,nan
control_rotation_pooled,nullold,8,375,0.013426,0.010401,0.014733,nan,nan
control_rotation_pooled,nullold,9,375,0.011642,0.006199,0.013734,nan,nan
control_rotation_pooled,nullold,10,375,0.011469,0.008436,0.017773,nan,nan
